DLC;Errors;Burst;Undetected_Errors
1;15;16;0
1;15;17;0
1;15;18;0
1;15;19;0
1;15;20;0
1;15;21;0
1;15;22;0
1;15;23;0
1;15;24;0
1;15;25;0
1;15;26;0
1;15;27;0
1;15;28;0
1;15;29;0
1;15;30;0
1;16;16;0
1;16;17;0
1;16;18;0
1;16;19;0
1;16;20;0
1;16;21;484
1;16;22;390
1;16;23;405
1;16;24;448
1;16;25;533
1;16;26;584
1;16;27;632
1;16;28;586
1;16;29;608
1;16;30;660
2;1;2;0
2;1;3;0
2;1;4;0
2;1;5;0
2;1;6;0
2;1;7;0
2;1;8;0
2;1;9;0
2;1;10;0
2;1;11;0
2;1;12;0
2;1;13;0
2;1;14;0
2;1;15;0
2;1;16;0
2;1;17;0
2;1;18;0
2;1;19;0
2;1;20;0
2;1;21;0
2;1;22;0
2;1;23;0
2;1;24;0
2;1;25;0
2;1;26;0
2;1;27;0
2;1;28;0
2;1;29;0
2;1;30;0
2;2;2;0
2;2;3;0
2;2;4;0
2;2;5;0
2;2;6;0
2;2;7;0
2;2;8;0
2;2;9;0
2;2;10;0
2;2;11;0
2;2;12;0
2;2;13;0
2;2;14;0
2;2;15;0
2;2;16;0
2;2;17;0
2;2;18;0
2;2;19;0
2;2;20;0
2;2;21;0
2;2;22;0
2;2;23;0
2;2;24;0
2;2;25;0
2;2;26;0
2;2;27;0
2;2;28;0
2;2;29;0
2;2;30;0
2;3;3;0
2;3;4;0
2;3;5;0
2;3;6;0
2;3;7;0
2;3;8;0
2;3;9;0
2;3;10;0
2;3;11;0
2;3;12;0
2;3;13;0
2;3;14;0
2;3;15;0
2;3;16;0
2;3;17;0
2;3;18;0
2;3;19;0
2;3;20;0
2;3;21;0
2;3;22;0
2;3;23;0
2;3;24;0
2;3;25;0
2;3;26;0
2;3;27;0
2;3;28;0
2;3;29;0
2;3;30;0
2;4;4;0
2;4;5;0
2;4;6;0
2;4;7;0
2;4;8;0
2;4;9;0
2;4;10;0
2;4;11;0
2;4;12;0
2;4;13;0
2;4;14;0
2;4;15;0
2;4;16;0
2;4;17;0
2;4;18;0
2;4;19;0
2;4;20;0
2;4;21;0
2;4;22;0
2;4;23;0
2;4;24;0
2;4;25;0
2;4;26;0
2;4;27;0
2;4;28;0
2;4;29;0
2;4;30;0
2;5;5;0
2;5;6;0
2;5;7;0
2;5;8;0
2;5;9;0
2;5;10;0
2;5;11;0
2;5;12;0
2;5;13;0
2;5;14;0
2;5;15;0
2;5;16;0
2;5;17;0
2;5;18;0
2;5;19;0
2;5;20;0
2;5;21;0
2;5;22;0
2;5;23;0
2;5;24;0
2;5;25;0
2;5;26;0
2;5;27;0
2;5;28;0
2;5;29;0
2;5;30;0
2;6;6;0
2;6;7;0
2;6;8;0
2;6;9;0
2;6;10;0
2;6;11;0
2;6;12;0
2;6;13;0
2;6;14;0
2;6;15;0
2;6;16;0
2;6;17;0
2;6;18;0
2;6;19;0
2;6;20;0
2;6;21;0
2;6;22;0
2;6;23;106
2;6;24;226
2;6;25;271
2;6;26;323
2;6;27;341
2;6;28;425
2;6;29;479
2;6;30;532
2;7;7;0
2;7;8;0
2;7;9;0
2;7;10;0
2;7;11;0
2;7;12;0
2;7;13;0
2;7;14;0
2;7;15;0
2;7;16;0
2;7;17;0
2;7;18;0
2;7;19;0
2;7;20;0
2;7;21;0
2;7;22;0
2;7;23;0
2;7;24;0
